2025-04-30 08:08:10:079 80 sec: 9546000 operations; 121000 current ops/sec; est completion in 2 minutes [INSERT: Count=120000, Max=106175, Min=47296, Avg=71975.73, 90=91839, 99=102783, 99.9=106175, 99.99=106175] 
2025-04-30 08:08:11:079 81 sec: 9668000 operations; 122000 current ops/sec; est completion in 2 minutes [INSERT: Count=122000, Max=101823, Min=45920, Avg=70514.1, 90=86591, 99=98943, 99.9=101823, 99.99=101823] 
2025-04-30 08:08:12:079 82 sec: 9784000 operations; 116000 current ops/sec; est completion in 2 minutes [INSERT: Count=116000, Max=97215, Min=46272, Avg=66024.69, 90=87231, 99=96767, 99.9=97215, 99.99=97215] 
2025-04-30 08:08:13:079 83 sec: 9907000 operations; 123000 current ops/sec; est completion in 2 minutes [INSERT: Count=123000, Max=108735, Min=45216, Avg=62523.32, 90=83135, 99=108287, 99.9=108735, 99.99=108735] 
2025-04-30 08:08:14:079 84 sec: 10023000 operations; 116000 current ops/sec; est completion in 2 minutes [INSERT: Count=116000, Max=124095, Min=48288, Avg=66571.45, 90=84479, 99=123263, 99.9=124095, 99.99=124095] 
2025-04-30 08:08:15:079 85 sec: 10144000 operations; 121000 current ops/sec; est completion in 2 minutes [INSERT: Count=121000, Max=108607, Min=51712, Avg=74913.19, 90=92095, 99=107583, 99.9=108607, 99.99=108607] 
2025-04-30 08:08:16:079 86 sec: 10267000 operations; 123000 current ops/sec; est completion in 2 minutes [INSERT: Count=123000, Max=88703, Min=45792, Avg=62603.19, 90=80383, 99=87807, 99.9=88703, 99.99=88703] 
2025-04-30 08:08:17:079 87 sec: 10386000 operations; 119000 current ops/sec; est completion in 2 minutes [INSERT: Count=119000, Max=107455, Min=44992, Avg=66401.75, 90=88895, 99=104511, 99.9=107455, 99.99=107455] 
2025-04-30 08:08:18:079 88 sec: 10507000 operations; 121000 current ops/sec; est completion in 2 minutes [INSERT: Count=121000, Max=101759, Min=41184, Avg=63904.53, 90=80127, 99=93759, 99.9=101759, 99.99=101759] 
2025-04-30 08:08:19:079 89 sec: 10623000 operations; 116000 current ops/sec; est completion in 2 minutes [INSERT: Count=116000, Max=95999, Min=51392, Avg=64106.62, 90=83519, 99=91839, 99.9=95999, 99.99=95999] 
2025-04-30 08:08:20:079 90 sec: 10744000 operations; 121000 current ops/sec; est completion in 2 minutes [INSERT: Count=121000, Max=110527, Min=48960, Avg=72760.07, 90=88383, 99=109375, 99.9=110527, 99.99=110527] 
