2025-05-01 03:20:42:204 96 sec: 7643000 operations; 80000 current ops/sec; est completion in 3 minutes [INSERT: Count=80000, Max=108159, Min=37792, Avg=61170, 90=79359, 99=108159, 99.9=108159, 99.99=108159] 
2025-05-01 03:20:43:204 97 sec: 7722000 operations; 79000 current ops/sec; est completion in 3 minutes [INSERT: Count=79000, Max=87295, Min=37024, Avg=54529.62, 90=67967, 99=87295, 99.9=87295, 99.99=87295] 
2025-05-01 03:20:44:204 98 sec: 7806000 operations; 84000 current ops/sec; est completion in 3 minutes [INSERT: Count=84000, Max=141695, Min=35424, Avg=58988.38, 90=84415, 99=141695, 99.9=141695, 99.99=141695] 
2025-05-01 03:20:45:204 99 sec: 7884000 operations; 78000 current ops/sec; est completion in 3 minutes [INSERT: Count=78000, Max=160895, Min=30336, Avg=56216.72, 90=73983, 99=160895, 99.9=160895, 99.99=160895] 
2025-05-01 03:20:46:204 100 sec: 7963000 operations; 79000 current ops/sec; est completion in 3 minutes [INSERT: Count=79000, Max=74367, Min=34880, Avg=45317.67, 90=61311, 99=74367, 99.9=74367, 99.99=74367] 
2025-05-01 03:20:47:204 101 sec: 8045000 operations; 82000 current ops/sec; est completion in 3 minutes [INSERT: Count=82000, Max=86271, Min=34208, Avg=45611.71, 90=61759, 99=86271, 99.9=86271, 99.99=86271] 
2025-05-01 03:20:48:204 102 sec: 8125000 operations; 80000 current ops/sec; est completion in 3 minutes [INSERT: Count=80000, Max=51327, Min=31072, Avg=37605.7, 90=43135, 99=51327, 99.9=51327, 99.99=51327] 
2025-05-01 03:20:49:204 103 sec: 8204000 operations; 79000 current ops/sec; est completion in 3 minutes [INSERT: Count=79000, Max=118399, Min=32800, Avg=56621.16, 90=86015, 99=118399, 99.9=118399, 99.99=118399] 
2025-05-01 03:20:50:204 104 sec: 8283000 operations; 79000 current ops/sec; est completion in 3 minutes [INSERT: Count=79000, Max=79615, Min=34784, Avg=47200.61, 90=66047, 99=79615, 99.9=79615, 99.99=79615] 
2025-05-01 03:20:51:204 105 sec: 8366000 operations; 83000 current ops/sec; est completion in 3 minutes [INSERT: Count=83000, Max=106175, Min=32928, Avg=40491.37, 90=58367, 99=106175, 99.9=106175, 99.99=106175] 
2025-05-01 03:20:52:204 106 sec: 8444000 operations; 78000 current ops/sec; est completion in 3 minutes [INSERT: Count=78000, Max=100479, Min=32192, Avg=46965.03, 90=65535, 99=100479, 99.9=100479, 99.99=100479] 
2025-05-01 03:20:53:204 107 sec: 8524000 operations; 80000 current ops/sec; est completion in 3 minutes [INSERT: Count=80000, Max=136959, Min=34048, Avg=48251.4, 90=68479, 99=136959, 99.9=136959, 99.99=136959] 
2025-05-01 03:20:54:204 108 sec: 8600000 operations; 76000 current ops/sec; est completion in 3 minutes [INSERT: Count=76000, Max=131327, Min=37664, Avg=69733.47, 90=102591, 99=131327, 99.9=131327, 99.99=131327] 
2025-05-01 03:20:55:204 109 sec: 8682000 operations; 82000 current ops/sec; est completion in 3 minutes [INSERT: Count=82000, Max=175743, Min=43232, Avg=90030.44, 90=139647, 99=175743, 99.9=175743, 99.99=175743] 
2025-05-01 03:20:56:204 110 sec: 8766000 operations; 84000 current ops/sec; est completion in 3 minutes [INSERT: Count=84000, Max=178431, Min=31920, Avg=67037.24, 90=111871, 99=178431, 99.9=178431, 99.99=178431] 
2025-05-01 03:20:57:204 111 sec: 8847000 operations; 81000 current ops/sec; est completion in 3 minutes [INSERT: Count=81000, Max=75967, Min=31520, Avg=40976.79, 90=50527, 99=75967, 99.9=75967, 99.99=75967] 
2025-05-01 03:20:58:204 112 sec: 8925000 operations; 78000 current ops/sec; est completion in 3 minutes [INSERT: Count=78000, Max=73471, Min=31488, Avg=46119.49, 90=64543, 99=73471, 99.9=73471, 99.99=73471] 
