2025-05-01 04:13:52:647 58 sec: 4607000 operations; 82000 current ops/sec; est completion in 4 minutes [INSERT: Count=82000, Max=79039, Min=30992, Avg=44100.78, 90=57727, 99=79039, 99.9=79039, 99.99=79039] 
2025-05-01 04:13:53:647 59 sec: 4686000 operations; 79000 current ops/sec; est completion in 4 minutes [INSERT: Count=79000, Max=74751, Min=35168, Avg=41457.62, 90=50751, 99=74751, 99.9=74751, 99.99=74751] 
2025-05-01 04:13:54:647 60 sec: 4766000 operations; 80000 current ops/sec; est completion in 4 minutes [INSERT: Count=80000, Max=59871, Min=31600, Avg=38146.6, 90=46975, 99=59871, 99.9=59871, 99.99=59871] 
2025-05-01 04:13:55:647 61 sec: 4846000 operations; 80000 current ops/sec; est completion in 4 minutes [INSERT: Count=80000, Max=80255, Min=33408, Avg=47529.2, 90=57247, 99=80255, 99.9=80255, 99.99=80255] 
2025-05-01 04:13:56:647 62 sec: 4926000 operations; 80000 current ops/sec; est completion in 4 minutes [INSERT: Count=80000, Max=176639, Min=34464, Avg=60864.4, 90=84543, 99=176639, 99.9=176639, 99.99=176639] 
2025-05-01 04:13:57:647 63 sec: 5006000 operations; 80000 current ops/sec; est completion in 4 minutes [INSERT: Count=80000, Max=100735, Min=37664, Avg=56632, 90=69183, 99=100735, 99.9=100735, 99.99=100735] 
2025-05-01 04:13:58:647 64 sec: 5086000 operations; 80000 current ops/sec; est completion in 4 minutes [INSERT: Count=80000, Max=94847, Min=35648, Avg=57139.6, 90=74623, 99=94847, 99.9=94847, 99.99=94847] 
2025-05-01 04:13:59:647 65 sec: 5166000 operations; 80000 current ops/sec; est completion in 4 minutes [INSERT: Count=80000, Max=78783, Min=33088, Avg=45501.2, 90=57759, 99=78783, 99.9=78783, 99.99=78783] 
2025-05-01 04:14:00:647 66 sec: 5241000 operations; 75000 current ops/sec; est completion in 4 minutes [INSERT: Count=75000, Max=168319, Min=37376, Avg=69637.97, 90=106431, 99=168319, 99.9=168319, 99.99=168319] 
2025-05-01 04:14:01:647 67 sec: 5327000 operations; 86000 current ops/sec; est completion in 4 minutes [INSERT: Count=86000, Max=191615, Min=35680, Avg=63333.02, 90=117375, 99=191615, 99.9=191615, 99.99=191615] 
