2025-04-30 09:51:43:114 76 sec: 9068000 operations; 121000 current ops/sec; est completion in 2 minutes [INSERT: Count=121000, Max=95231, Min=48256, Avg=65505.06, 90=85631, 99=95231, 99.9=95231, 99.99=95231] 
2025-04-30 09:51:44:114 77 sec: 9188000 operations; 120000 current ops/sec; est completion in 2 minutes [INSERT: Count=120000, Max=94719, Min=48320, Avg=69022.13, 90=82367, 99=88255, 99.9=94719, 99.99=94719] 
2025-04-30 09:51:45:114 78 sec: 9307000 operations; 119000 current ops/sec; est completion in 2 minutes [INSERT: Count=119000, Max=95423, Min=51232, Avg=72401.08, 90=89855, 99=94143, 99.9=95423, 99.99=95423] 
2025-04-30 09:51:46:114 79 sec: 9427000 operations; 120000 current ops/sec; est completion in 2 minutes [INSERT: Count=120000, Max=109439, Min=46944, Avg=69395.2, 90=86719, 99=108927, 99.9=109439, 99.99=109439] 
2025-04-30 09:51:47:114 80 sec: 9547000 operations; 120000 current ops/sec; est completion in 2 minutes [INSERT: Count=120000, Max=117567, Min=45280, Avg=69339.07, 90=86015, 99=117247, 99.9=117567, 99.99=117567] 
2025-04-30 09:51:48:114 81 sec: 9668000 operations; 121000 current ops/sec; est completion in 2 minutes [INSERT: Count=121000, Max=106431, Min=47296, Avg=70058.84, 90=89407, 99=103999, 99.9=106431, 99.99=106431] 
2025-04-30 09:51:49:114 82 sec: 9787000 operations; 119000 current ops/sec; est completion in 2 minutes [INSERT: Count=119000, Max=95103, Min=46912, Avg=66892.5, 90=89535, 99=94207, 99.9=95103, 99.99=95103] 
2025-04-30 09:51:50:114 83 sec: 9907000 operations; 120000 current ops/sec; est completion in 2 minutes [INSERT: Count=120000, Max=114431, Min=45184, Avg=65682.53, 90=87935, 99=108991, 99.9=114431, 99.99=114431] 
2025-04-30 09:51:51:114 84 sec: 10028000 operations; 121000 current ops/sec; est completion in 2 minutes [INSERT: Count=121000, Max=97599, Min=46368, Avg=64290.25, 90=85119, 99=97407, 99.9=97599, 99.99=97599] 
2025-04-30 09:51:52:114 85 sec: 10145000 operations; 117000 current ops/sec; est completion in 2 minutes [INSERT: Count=117000, Max=101439, Min=50336, Avg=72009.16, 90=91007, 99=98495, 99.9=101439, 99.99=101439] 
2025-04-30 09:51:53:114 86 sec: 10268000 operations; 123000 current ops/sec; est completion in 2 minutes [INSERT: Count=123000, Max=101951, Min=46688, Avg=70106.15, 90=87167, 99=93439, 99.9=101951, 99.99=101951] 
2025-04-30 09:51:54:114 87 sec: 10389000 operations; 121000 current ops/sec; est completion in 2 minutes [INSERT: Count=121000, Max=110847, Min=46720, Avg=72780.17, 90=90495, 99=110207, 99.9=110847, 99.99=110847] 
2025-04-30 09:51:55:114 88 sec: 10509000 operations; 120000 current ops/sec; est completion in 2 minutes [INSERT: Count=120000, Max=102719, Min=47168, Avg=68436.67, 90=86783, 99=100671, 99.9=102719, 99.99=102719] 
2025-04-30 09:51:56:114 89 sec: 10624000 operations; 115000 current ops/sec; est completion in 2 minutes [INSERT: Count=115000, Max=97279, Min=50944, Avg=68131.76, 90=87423, 99=92415, 99.9=97279, 99.99=97279] 
2025-04-30 09:51:57:114 90 sec: 10747000 operations; 123000 current ops/sec; est completion in 2 minutes [INSERT: Count=123000, Max=104063, Min=47008, Avg=77019.06, 90=91519, 99=103423, 99.9=104063, 99.99=104063] 
2025-04-30 09:51:58:114 91 sec: 10865000 operations; 118000 current ops/sec; est completion in 2 minutes [INSERT: Count=118000, Max=101823, Min=45376, Avg=69747.39, 90=89087, 99=101183, 99.9=101823, 99.99=101823] 
2025-04-30 09:51:59:114 92 sec: 10986000 operations; 121000 current ops/sec; est completion in 2 minutes [INSERT: Count=121000, Max=100671, Min=49216, Avg=75900.43, 90=92095, 99=98431, 99.9=100671, 99.99=100671] 
2025-04-30 09:52:00:114 93 sec: 11106000 operations; 120000 current ops/sec; est completion in 2 minutes [INSERT: Count=120000, Max=144639, Min=49312, Avg=68384.67, 90=84095, 99=141311, 99.9=144639, 99.99=144639] 
2025-04-30 09:52:01:114 94 sec: 11228000 operations; 122000 current ops/sec; est completion in 2 minutes [INSERT: Count=122000, Max=107455, Min=47904, Avg=64816.13, 90=84223, 99=102655, 99.9=107455, 99.99=107455] 
2025-04-30 09:52:02:114 95 sec: 11347000 operations; 119000 current ops/sec; est completion in 2 minutes [INSERT: Count=119000, Max=105791, Min=47200, Avg=68364.64, 90=83519, 99=105023, 99.9=105791, 99.99=105791] 
2025-04-30 09:52:03:114 96 sec: 11467000 operations; 120000 current ops/sec; est completion in 2 minutes [INSERT: Count=120000, Max=108543, Min=48160, Avg=68142, 90=84031, 99=108415, 99.9=108543, 99.99=108543] 
2025-04-30 09:52:04:114 97 sec: 11586000 operations; 119000 current ops/sec; est completion in 2 minutes [INSERT: Count=119000, Max=90303, Min=49536, Avg=62658.82, 90=83903, 99=88767, 99.9=90303, 99.99=90303] 
2025-04-30 09:52:05:114 98 sec: 11707000 operations; 121000 current ops/sec; est completion in 2 minutes [INSERT: Count=121000, Max=94783, Min=43232, Avg=66315.64, 90=80319, 99=93759, 99.9=94783, 99.99=94783] 
2025-04-30 09:52:06:114 99 sec: 11829000 operations; 122000 current ops/sec; est completion in 2 minutes [INSERT: Count=122000, Max=91647, Min=44576, Avg=60942.43, 90=82431, 99=90943, 99.9=91647, 99.99=91647] 
2025-04-30 09:52:07:114 100 sec: 11948000 operations; 119000 current ops/sec; est completion in 2 minutes [INSERT: Count=119000, Max=94143, Min=49888, Avg=64881.08, 90=87231, 99=93311, 99.9=94143, 99.99=94143] 
2025-04-30 09:52:08:114 101 sec: 12064000 operations; 116000 current ops/sec; est completion in 2 minutes [INSERT: Count=116000, Max=108863, Min=45664, Avg=67846.07, 90=93823, 99=106495, 99.9=108863, 99.99=108863] 
2025-04-30 09:52:09:114 102 sec: 12186000 operations; 122000 current ops/sec; est completion in 2 minutes [INSERT: Count=122000, Max=115007, Min=45504, Avg=73959.08, 90=102463, 99=113087, 99.9=115007, 99.99=115007] 
2025-04-30 09:52:10:114 103 sec: 12307000 operations; 121000 current ops/sec; est completion in 2 minutes [INSERT: Count=121000, Max=115455, Min=47616, Avg=72600.99, 90=95679, 99=115327, 99.9=115455, 99.99=115455] 
2025-04-30 09:52:11:114 104 sec: 12428000 operations; 121000 current ops/sec; est completion in 2 minutes [INSERT: Count=121000, Max=91135, Min=48896, Avg=63294.02, 90=82495, 99=89727, 99.9=91135, 99.99=91135] 
2025-04-30 09:52:12:114 105 sec: 12549000 operations; 121000 current ops/sec; est completion in 2 minutes [INSERT: Count=121000, Max=88959, Min=46272, Avg=58804.1, 90=74431, 99=88895, 99.9=88959, 99.99=88959] 
2025-04-30 09:52:13:114 106 sec: 12669000 operations; 120000 current ops/sec; est completion in 2 minutes [INSERT: Count=120000, Max=98367, Min=44928, Avg=63146.67, 90=81343, 99=98239, 99.9=98367, 99.99=98367] 
2025-04-30 09:52:14:114 107 sec: 12788000 operations; 119000 current ops/sec; est completion in 2 minutes [INSERT: Count=119000, Max=103359, Min=47168, Avg=69592.61, 90=87807, 99=103359, 99.9=103359, 99.99=103359] 
2025-04-30 09:52:15:114 108 sec: 12908000 operations; 120000 current ops/sec; est completion in 2 minutes [INSERT: Count=120000, Max=144767, Min=49024, Avg=72486, 90=84991, 99=143999, 99.9=144767, 99.99=144767] 
2025-04-30 09:52:16:114 109 sec: 13029000 operations; 121000 current ops/sec; est completion in 2 minutes [INSERT: Count=121000, Max=103167, Min=48224, Avg=66414.15, 90=85119, 99=103167, 99.9=103167, 99.99=103167] 
2025-04-30 09:52:17:114 110 sec: 13149000 operations; 120000 current ops/sec; est completion in 2 minutes [INSERT: Count=120000, Max=101311, Min=44960, Avg=60285.47, 90=84287, 99=99135, 99.9=101311, 99.99=101311] 
2025-04-30 09:52:18:114 111 sec: 13269000 operations; 120000 current ops/sec; est completion in 2 minutes [INSERT: Count=120000, Max=100223, Min=46016, Avg=64891.33, 90=88127, 99=96895, 99.9=100223, 99.99=100223] 
2025-04-30 09:52:19:114 112 sec: 13387000 operations; 118000 current ops/sec; est completion in 2 minutes [INSERT: Count=118000, Max=93503, Min=46400, Avg=64022.78, 90=82111, 99=91391, 99.9=93503, 99.99=93503] 
