2025-05-01 03:03:31:533 100 sec: 10695000 operations; 145000 current ops/sec; est completion in 2 minutes [INSERT: Count=145000, Max=14303231, Min=7155712, Avg=13192877.02, 90=14024703, 99=14270463, 99.9=14303231, 99.99=14303231] 
2025-05-01 03:03:32:533 101 sec: 10839000 operations; 144000 current ops/sec; est completion in 2 minutes [INSERT: Count=144000, Max=12976127, Min=8114176, Avg=12057272.89, 90=12754943, 99=12935167, 99.9=12976127, 99.99=12976127] 
2025-05-01 03:03:33:533 102 sec: 10987000 operations; 148000 current ops/sec; est completion in 1 minute [INSERT: Count=148000, Max=11706367, Min=9076736, Avg=10848809.51, 90=11460607, 99=11665407, 99.9=11706367, 99.99=11706367] 
2025-05-01 03:03:34:533 103 sec: 11129000 operations; 142000 current ops/sec; est completion in 1 minute [INSERT: Count=142000, Max=10461183, Min=8904704, Avg=9628772.96, 90=10158079, 99=10354687, 99.9=10461183, 99.99=10461183] 
2025-05-01 03:03:35:533 104 sec: 11274000 operations; 145000 current ops/sec; est completion in 1 minute [INSERT: Count=145000, Max=11739135, Min=7610368, Avg=8464214.51, 90=8904703, 99=11722751, 99.9=11739135, 99.99=11739135] 
2025-05-01 03:03:36:533 105 sec: 11414000 operations; 140000 current ops/sec; est completion in 1 minute [INSERT: Count=140000, Max=12517375, Min=6348800, Avg=7182833.37, 90=7581695, 99=12509183, 99.9=12517375, 99.99=12517375] 
2025-05-01 03:03:37:533 106 sec: 11449000 operations; 35000 current ops/sec; est completion in 1 minute [INSERT: Count=35000, Max=13311999, Min=6078464, Avg=7088947.2, 90=12836863, 99=13311999, 99.9=13311999, 99.99=13311999] 
2025-05-01 03:03:38:533 107 sec: 11461000 operations; 12000 current ops/sec; est completion in 1 minute [INSERT: Count=12000, Max=14409727, Min=6926336, Avg=10107392, 90=14098431, 99=14409727, 99.9=14409727, 99.99=14409727] 
2025-05-01 03:03:39:533 108 sec: 11472000 operations; 11000 current ops/sec; est completion in 1 minute [INSERT: Count=11000, Max=15196159, Min=7901184, Avg=10686464, 90=14893055, 99=15196159, 99.9=15196159, 99.99=15196159] 
2025-05-01 03:03:40:533 109 sec: 11482000 operations; 10000 current ops/sec; est completion in 1 minute [INSERT: Count=10000, Max=15982591, Min=8773632, Avg=11775180.8, 90=15679487, 99=15982591, 99.9=15982591, 99.99=15982591] 
