2025-08-10 22:01:13:016 62 sec: 68977 operations; 1124 current ops/sec; est completion in 43 minutes [INSERT: Count=1124, Max=2273, Min=678, Avg=883.07, 90=921, 99=964, 99.9=1040, 99.99=2273] 
2025-08-10 22:01:14:016 63 sec: 70109 operations; 1132 current ops/sec; est completion in 43 minutes [INSERT: Count=1132, Max=967, Min=703, Avg=877.42, 90=913, 99=943, 99.9=967, 99.99=967] 
2025-08-10 22:01:15:016 64 sec: 71237 operations; 1128 current ops/sec; est completion in 43 minutes [INSERT: Count=1128, Max=3239, Min=656, Avg=879.71, 90=915, 99=954, 99.9=1009, 99.99=3239] 
2025-08-10 22:01:16:016 65 sec: 72363 operations; 1126 current ops/sec; est completion in 43 minutes [INSERT: Count=1126, Max=992, Min=756, Avg=881.22, 90=917, 99=944, 99.9=989, 99.99=992] 
2025-08-10 22:01:17:016 66 sec: 73478 operations; 1115 current ops/sec; est completion in 43 minutes [INSERT: Count=1115, Max=2449, Min=755, Avg=889.53, 90=929, 99=979, 99.9=1263, 99.99=2449] 
2025-08-10 22:01:18:016 67 sec: 74597 operations; 1119 current ops/sec; est completion in 43 minutes [INSERT: Count=1119, Max=1141, Min=703, Avg=885.07, 90=930, 99=976, 99.9=1050, 99.99=1141] 
2025-08-10 22:01:19:016 68 sec: 75718 operations; 1121 current ops/sec; est completion in 43 minutes [INSERT: Count=1121, Max=1027, Min=565, Avg=884.71, 90=924, 99=952, 99.9=986, 99.99=1027] 
2025-08-10 22:01:20:016 69 sec: 76842 operations; 1124 current ops/sec; est completion in 43 minutes [INSERT: Count=1125, Max=988, Min=717, Avg=881.5, 90=918, 99=945, 99.9=972, 99.99=988] 
2025-08-10 22:01:21:016 70 sec: 77968 operations; 1126 current ops/sec; est completion in 43 minutes [INSERT: Count=1125, Max=988, Min=622, Avg=881.14, 90=919, 99=952, 99.9=979, 99.99=988] 
2025-08-10 22:01:22:016 71 sec: 79092 operations; 1124 current ops/sec; est completion in 43 minutes [INSERT: Count=1124, Max=1051, Min=717, Avg=881.07, 90=918, 99=949, 99.9=1001, 99.99=1051] 
2025-08-10 22:01:23:016 72 sec: 80221 operations; 1129 current ops/sec; est completion in 43 minutes [INSERT: Count=1129, Max=1024, Min=753, Avg=878.41, 90=915, 99=954, 99.9=1003, 99.99=1024] 
2025-08-10 22:01:24:016 73 sec: 81353 operations; 1132 current ops/sec; est completion in 43 minutes [INSERT: Count=1132, Max=964, Min=640, Avg=875.66, 90=916, 99=942, 99.9=961, 99.99=964] 
