2025-08-10 22:46:06:903 95 sec: 101479 operations; 1080 current ops/sec; est completion in 45 minutes [INSERT: Count=1080, Max=1024, Min=796, Avg=918.85, 90=955, 99=989, 99.9=1008, 99.99=1024] 
2025-08-10 22:46:07:903 96 sec: 102561 operations; 1082 current ops/sec; est completion in 45 minutes [INSERT: Count=1082, Max=1011, Min=826, Avg=916.88, 90=953, 99=988, 99.9=1007, 99.99=1011] 
2025-08-10 22:46:08:903 97 sec: 103644 operations; 1083 current ops/sec; est completion in 45 minutes [INSERT: Count=1083, Max=1005, Min=796, Avg=915.39, 90=954, 99=983, 99.9=1005, 99.99=1005] 
2025-08-10 22:46:09:903 98 sec: 104728 operations; 1084 current ops/sec; est completion in 45 minutes [INSERT: Count=1084, Max=1025, Min=803, Avg=915.16, 90=950, 99=981, 99.9=1022, 99.99=1025] 
2025-08-10 22:46:10:903 99 sec: 105804 operations; 1076 current ops/sec; est completion in 45 minutes [INSERT: Count=1076, Max=1038, Min=810, Avg=917.97, 90=954, 99=989, 99.9=1023, 99.99=1038] 
2025-08-10 22:46:11:903 100 sec: 106891 operations; 1087 current ops/sec; est completion in 45 minutes [INSERT: Count=1087, Max=1021, Min=797, Avg=912.84, 90=948, 99=983, 99.9=1002, 99.99=1021] 
2025-08-10 22:46:12:903 101 sec: 107979 operations; 1088 current ops/sec; est completion in 45 minutes [INSERT: Count=1088, Max=1056, Min=796, Avg=912.48, 90=948, 99=984, 99.9=1009, 99.99=1056] 
2025-08-10 22:46:13:903 102 sec: 109067 operations; 1088 current ops/sec; est completion in 45 minutes [INSERT: Count=1088, Max=1053, Min=810, Avg=912.34, 90=948, 99=987, 99.9=1038, 99.99=1053] 
2025-08-10 22:46:14:903 103 sec: 110154 operations; 1087 current ops/sec; est completion in 45 minutes [INSERT: Count=1087, Max=995, Min=838, Avg=913.17, 90=948, 99=981, 99.9=994, 99.99=995] 
2025-08-10 22:46:15:903 104 sec: 111237 operations; 1083 current ops/sec; est completion in 45 minutes [INSERT: Count=1083, Max=1186, Min=802, Avg=915.79, 90=950, 99=980, 99.9=1147, 99.99=1186] 
2025-08-10 22:46:16:903 105 sec: 112319 operations; 1082 current ops/sec; est completion in 45 minutes [INSERT: Count=1082, Max=1045, Min=746, Avg=915.09, 90=952, 99=986, 99.9=1038, 99.99=1045] 
2025-08-10 22:46:17:903 106 sec: 113400 operations; 1081 current ops/sec; est completion in 44 minutes [INSERT: Count=1081, Max=1033, Min=825, Avg=916.8, 90=953, 99=990, 99.9=1032, 99.99=1033] 
2025-08-10 22:46:18:903 107 sec: 114475 operations; 1075 current ops/sec; est completion in 44 minutes [INSERT: Count=1075, Max=1067, Min=746, Avg=918.94, 90=956, 99=996, 99.9=1040, 99.99=1067] 
2025-08-10 22:46:19:903 108 sec: 115560 operations; 1085 current ops/sec; est completion in 44 minutes [INSERT: Count=1085, Max=1015, Min=717, Avg=914.97, 90=954, 99=990, 99.9=1015, 99.99=1015] 
2025-08-10 22:46:20:903 109 sec: 116644 operations; 1084 current ops/sec; est completion in 44 minutes [INSERT: Count=1084, Max=1042, Min=797, Avg=914.65, 90=948, 99=996, 99.9=1028, 99.99=1042] 
2025-08-10 22:46:21:903 110 sec: 117726 operations; 1082 current ops/sec; est completion in 44 minutes [INSERT: Count=1082, Max=1013, Min=765, Avg=914.92, 90=953, 99=994, 99.9=1011, 99.99=1013] 
2025-08-10 22:46:22:903 111 sec: 118815 operations; 1089 current ops/sec; est completion in 44 minutes [INSERT: Count=1089, Max=1005, Min=746, Avg=913.11, 90=950, 99=975, 99.9=1000, 99.99=1005] 
2025-08-10 22:46:23:903 112 sec: 119890 operations; 1075 current ops/sec; est completion in 44 minutes [INSERT: Count=1075, Max=2653, Min=728, Avg=924.59, 90=968, 99=1014, 99.9=1112, 99.99=2653] 
2025-08-10 22:46:24:903 113 sec: 120973 operations; 1083 current ops/sec; est completion in 44 minutes [INSERT: Count=1083, Max=1043, Min=730, Avg=919.15, 90=961, 99=1003, 99.9=1043, 99.99=1043] 
2025-08-10 22:46:25:903 114 sec: 122055 operations; 1082 current ops/sec; est completion in 44 minutes [INSERT: Count=1082, Max=1061, Min=800, Avg=918.68, 90=958, 99=1000, 99.9=1029, 99.99=1061] 
2025-08-10 22:46:26:903 115 sec: 123135 operations; 1080 current ops/sec; est completion in 44 minutes [INSERT: Count=1080, Max=1069, Min=789, Avg=919.6, 90=958, 99=991, 99.9=1045, 99.99=1069] 
2025-08-10 22:46:27:903 116 sec: 124218 operations; 1083 current ops/sec; est completion in 44 minutes [INSERT: Count=1083, Max=1065, Min=833, Avg=918.71, 90=955, 99=998, 99.9=1027, 99.99=1065] 
2025-08-10 22:46:28:903 117 sec: 125302 operations; 1084 current ops/sec; est completion in 44 minutes [INSERT: Count=1084, Max=1033, Min=800, Avg=917.39, 90=952, 99=986, 99.9=1029, 99.99=1033] 
