2025-05-01 04:21:53:751 68 sec: 7970000 operations; 71000 current ops/sec; est completion in 2 minutes [INSERT: Count=71000, Max=2314239, Min=31552, Avg=399515.15, 90=1942527, 99=2314239, 99.9=2314239, 99.99=2314239] 
2025-05-01 04:21:54:751 69 sec: 7989000 operations; 19000 current ops/sec; est completion in 2 minutes [INSERT: Count=19000, Max=3153919, Min=406272, Avg=1766204.63, 90=3129343, 99=3153919, 99.9=3153919, 99.99=3153919] 
2025-05-01 04:21:55:751 70 sec: 8010000 operations; 21000 current ops/sec; est completion in 2 minutes [INSERT: Count=21000, Max=3989503, Min=1059840, Avg=2313264.76, 90=3893247, 99=3989503, 99.9=3989503, 99.99=3989503] 
2025-05-01 04:21:56:751 71 sec: 8030000 operations; 20000 current ops/sec; est completion in 2 minutes [INSERT: Count=20000, Max=4841471, Min=1803264, Avg=3056972.8, 90=4739071, 99=4841471, 99.9=4841471, 99.99=4841471] 
2025-05-01 04:21:57:751 72 sec: 8049000 operations; 19000 current ops/sec; est completion in 2 minutes [INSERT: Count=19000, Max=5689343, Min=2543616, Avg=3955173.05, 90=5681151, 99=5689343, 99.9=5689343, 99.99=5689343] 
2025-05-01 04:21:58:751 73 sec: 8065000 operations; 16000 current ops/sec; est completion in 2 minutes [INSERT: Count=16000, Max=6537215, Min=3713024, Avg=5111104, 90=6533119, 99=6537215, 99.9=6537215, 99.99=6537215] 
2025-05-01 04:21:59:751 74 sec: 8080000 operations; 15000 current ops/sec; est completion in 2 minutes [INSERT: Count=15000, Max=7491583, Min=4562944, Avg=5871889.07, 90=7282687, 99=7491583, 99.9=7491583, 99.99=7491583] 
2025-05-01 04:22:00:751 75 sec: 8104000 operations; 24000 current ops/sec; est completion in 2 minutes [INSERT: Count=24000, Max=8314879, Min=5406720, Avg=7297194.67, 90=8286207, 99=8314879, 99.9=8314879, 99.99=8314879] 
2025-05-01 04:22:01:751 76 sec: 8245000 operations; 141000 current ops/sec; est completion in 2 minutes [INSERT: Count=141000, Max=8216575, Min=6254592, Avg=7543045.45, 90=8077311, 99=8200191, 99.9=8216575, 99.99=8216575] 
2025-05-01 04:22:02:751 77 sec: 8386000 operations; 141000 current ops/sec; est completion in 2 minutes [INSERT: Count=141000, Max=7634943, Min=5750784, Avg=6456356.31, 90=6942719, 99=7630847, 99.9=7634943, 99.99=7634943] 
2025-05-01 04:22:03:751 78 sec: 8525000 operations; 139000 current ops/sec; est completion in 2 minutes [INSERT: Count=139000, Max=8495103, Min=4571136, Avg=5369001.44, 90=5767167, 99=8486911, 99.9=8495103, 99.99=8495103] 
2025-05-01 04:22:04:751 79 sec: 8673000 operations; 148000 current ops/sec; est completion in 2 minutes [INSERT: Count=148000, Max=9396223, Min=3416064, Avg=4620239.57, 90=8953855, 99=9388031, 99.9=9396223, 99.99=9396223] 
2025-05-01 04:22:05:751 80 sec: 8948000 operations; 275000 current ops/sec; est completion in 2 minutes [INSERT: Count=275000, Max=9289727, Min=2094080, Avg=5694655.77, 90=9027583, 99=9265151, 99.9=9289727, 99.99=9289727] 
2025-05-01 04:22:06:751 81 sec: 9130000 operations; 182000 current ops/sec; est completion in 2 minutes [INSERT: Count=182000, Max=8015871, Min=1728512, Avg=5893218.46, 90=7839743, 99=7999487, 99.9=8015871, 99.99=8015871] 
2025-05-01 04:22:07:751 82 sec: 9279000 operations; 149000 current ops/sec; est completion in 2 minutes [INSERT: Count=149000, Max=6815743, Min=2295808, Avg=5882914.36, 90=6664191, 99=6803455, 99.9=6815743, 99.99=6815743] 
2025-05-01 04:22:08:751 83 sec: 9421000 operations; 142000 current ops/sec; est completion in 2 minutes [INSERT: Count=142000, Max=5525503, Min=3149824, Avg=4815158.08, 90=5390335, 99=5500927, 99.9=5525503, 99.99=5525503] 
2025-05-01 04:22:09:751 84 sec: 9567000 operations; 146000 current ops/sec; est completion in 2 minutes [INSERT: Count=146000, Max=4587519, Min=3047424, Avg=3741534.68, 90=4239359, 99=4575231, 99.9=4587519, 99.99=4587519] 
2025-05-01 04:22:10:751 85 sec: 9657000 operations; 90000 current ops/sec; est completion in 2 minutes [INSERT: Count=90000, Max=5349375, Min=2349056, Avg=2975061.33, 90=4775935, 99=5349375, 99.9=5349375, 99.99=5349375] 
2025-05-01 04:22:11:751 86 sec: 9674000 operations; 17000 current ops/sec; est completion in 2 minutes [INSERT: Count=17000, Max=6303743, Min=2764800, Avg=4435184.94, 90=6250495, 99=6303743, 99.9=6303743, 99.99=6303743] 
2025-05-01 04:22:12:751 87 sec: 9692000 operations; 18000 current ops/sec; est completion in 2 minutes [INSERT: Count=18000, Max=7266303, Min=3661824, Avg=5284920.89, 90=7208959, 99=7266303, 99.9=7266303, 99.99=7266303] 
2025-05-01 04:22:13:751 88 sec: 9708000 operations; 16000 current ops/sec; est completion in 2 minutes [INSERT: Count=16000, Max=8175615, Min=4407296, Avg=6143744, 90=7933951, 99=8175615, 99.9=8175615, 99.99=8175615] 
2025-05-01 04:22:14:751 89 sec: 9724000 operations; 16000 current ops/sec; est completion in 2 minutes [INSERT: Count=16000, Max=8896511, Min=5357568, Avg=6983680, 90=8880127, 99=8896511, 99.9=8896511, 99.99=8896511] 
2025-05-01 04:22:15:751 90 sec: 9740000 operations; 16000 current ops/sec; est completion in 2 minutes [INSERT: Count=16000, Max=9863167, Min=6258688, Avg=8013568, 90=9846783, 99=9863167, 99.9=9863167, 99.99=9863167] 
2025-05-01 04:22:16:751 91 sec: 9754000 operations; 14000 current ops/sec; est completion in 2 minutes [INSERT: Count=14000, Max=10633215, Min=7004160, Avg=8602770.29, 90=10584063, 99=10633215, 99.9=10633215, 99.99=10633215] 
2025-05-01 04:22:17:751 92 sec: 9769000 operations; 15000 current ops/sec; est completion in 2 minutes [INSERT: Count=15000, Max=11599871, Min=7950336, Avg=9860164.27, 90=11550719, 99=11599871, 99.9=11599871, 99.99=11599871] 
