2025-04-30 15:39:32:226 95 sec: 9452000 operations; 98000 current ops/sec; est completion in 2 minutes [INSERT: Count=98000, Max=135551, Min=51712, Avg=71639.35, 90=92671, 99=135551, 99.9=135551, 99.99=135551] 
2025-04-30 15:39:33:226 96 sec: 9554000 operations; 102000 current ops/sec; est completion in 2 minutes [INSERT: Count=102000, Max=235391, Min=44672, Avg=89227.76, 90=155647, 99=218367, 99.9=235391, 99.99=235391] 
2025-04-30 15:39:34:226 97 sec: 9654000 operations; 100000 current ops/sec; est completion in 2 minutes [INSERT: Count=100000, Max=170495, Min=50976, Avg=84712.32, 90=126847, 99=152703, 99.9=170495, 99.99=170495] 
2025-04-30 15:39:35:226 98 sec: 9752000 operations; 98000 current ops/sec; est completion in 2 minutes [INSERT: Count=98000, Max=253951, Min=47104, Avg=86127.18, 90=148351, 99=253951, 99.9=253951, 99.99=253951] 
2025-04-30 15:39:36:226 99 sec: 9856000 operations; 104000 current ops/sec; est completion in 2 minutes [INSERT: Count=104000, Max=173439, Min=46976, Avg=78709.08, 90=116543, 99=163071, 99.9=173439, 99.99=173439] 
2025-04-30 15:39:37:226 100 sec: 9955000 operations; 99000 current ops/sec; est completion in 2 minutes [INSERT: Count=99000, Max=144255, Min=51808, Avg=73685.66, 90=106943, 99=144255, 99.9=144255, 99.99=144255] 
2025-04-30 15:39:38:226 101 sec: 10056000 operations; 101000 current ops/sec; est completion in 2 minutes [INSERT: Count=101000, Max=184191, Min=45440, Avg=72249.82, 90=101055, 99=155519, 99.9=184191, 99.99=184191] 
2025-04-30 15:39:39:226 102 sec: 10152000 operations; 96000 current ops/sec; est completion in 2 minutes [INSERT: Count=96000, Max=158719, Min=53024, Avg=83018.5, 90=117759, 99=158719, 99.9=158719, 99.99=158719] 
2025-04-30 15:39:40:226 103 sec: 10256000 operations; 104000 current ops/sec; est completion in 2 minutes [INSERT: Count=104000, Max=158591, Min=51040, Avg=69250.31, 90=97791, 99=157695, 99.9=158591, 99.99=158591] 
2025-04-30 15:39:41:226 104 sec: 10356000 operations; 100000 current ops/sec; est completion in 2 minutes [INSERT: Count=100000, Max=173695, Min=48864, Avg=70120.64, 90=99327, 99=142847, 99.9=173695, 99.99=173695] 
2025-04-30 15:39:42:226 105 sec: 10456000 operations; 100000 current ops/sec; est completion in 2 minutes [INSERT: Count=100000, Max=147583, Min=50688, Avg=67317.76, 90=95615, 99=128191, 99.9=147583, 99.99=147583] 
2025-04-30 15:39:43:226 106 sec: 10555000 operations; 99000 current ops/sec; est completion in 2 minutes [INSERT: Count=99000, Max=170751, Min=42976, Avg=71455.68, 90=106111, 99=170751, 99.9=170751, 99.99=170751] 
2025-04-30 15:39:44:226 107 sec: 10651000 operations; 96000 current ops/sec; est completion in 2 minutes [INSERT: Count=96000, Max=191231, Min=52096, Avg=91228.17, 90=155263, 99=191231, 99.9=191231, 99.99=191231] 
2025-04-30 15:39:45:226 108 sec: 10756000 operations; 105000 current ops/sec; est completion in 2 minutes [INSERT: Count=105000, Max=170111, Min=50432, Avg=71756.04, 90=103679, 99=140927, 99.9=170111, 99.99=170111] 
2025-04-30 15:39:46:226 109 sec: 10854000 operations; 98000 current ops/sec; est completion in 2 minutes [INSERT: Count=98000, Max=160255, Min=47104, Avg=73851.59, 90=112575, 99=160255, 99.9=160255, 99.99=160255] 
2025-04-30 15:39:47:226 110 sec: 10954000 operations; 100000 current ops/sec; est completion in 2 minutes [INSERT: Count=100000, Max=143999, Min=52704, Avg=72006.56, 90=103615, 99=143743, 99.9=143999, 99.99=143999] 
2025-04-30 15:39:48:226 111 sec: 11051000 operations; 97000 current ops/sec; est completion in 2 minutes [INSERT: Count=97000, Max=181375, Min=47008, Avg=85229.69, 90=136959, 99=181375, 99.9=181375, 99.99=181375] 
2025-04-30 15:39:49:226 112 sec: 11150000 operations; 99000 current ops/sec; est completion in 2 minutes [INSERT: Count=99000, Max=270847, Min=48608, Avg=98981.01, 90=144895, 99=270847, 99.9=270847, 99.99=270847] 
