2025-08-18 15:34:16:355 840 sec: 13218861 operations; 15434.8 current ops/sec; est completion in 1 hour 31 minutes [INSERT: Count=154348, Max=9943, Min=560, Avg=2068.24, 90=2737, 99=3705, 99.9=5115, 99.99=7827] 
2025-08-18 15:34:26:355 850 sec: 13375835 operations; 15697.4 current ops/sec; est completion in 1 hour 31 minutes [INSERT: Count=156974, Max=16991, Min=547, Avg=2033.45, 90=2699, 99=3705, 99.9=5295, 99.99=13815] 
2025-08-18 15:34:36:355 860 sec: 13534714 operations; 15887.9 current ops/sec; est completion in 1 hour 31 minutes [INSERT: Count=158884, Max=9599, Min=518, Avg=2008.93, 90=2685, 99=3735, 99.9=5399, 99.99=7787] 
2025-08-18 15:34:46:355 870 sec: 13694324 operations; 15961 current ops/sec; est completion in 1 hour 31 minutes [INSERT: Count=159606, Max=9095, Min=516, Avg=1999.71, 90=2675, 99=3735, 99.9=5111, 99.99=7071] 
2025-08-18 15:34:56:355 880 sec: 13852639 operations; 15831.5 current ops/sec; est completion in 1 hour 31 minutes [INSERT: Count=158314, Max=9543, Min=563, Avg=2016.24, 90=2695, 99=3743, 99.9=5347, 99.99=7159] 
2025-08-18 15:35:06:355 890 sec: 14011958 operations; 15931.9 current ops/sec; est completion in 1 hour 31 minutes [INSERT: Count=159319, Max=8799, Min=527, Avg=2003.38, 90=2683, 99=3735, 99.9=5103, 99.99=7339] 
2025-08-18 15:35:16:355 900 sec: 14169259 operations; 15730.1 current ops/sec; est completion in 1 hour 30 minutes [INSERT: Count=157303, Max=10503, Min=551, Avg=2029.14, 90=2703, 99=3761, 99.9=5419, 99.99=8151] 
2025-08-18 15:35:26:355 910 sec: 14328892 operations; 15963.3 current ops/sec; est completion in 1 hour 30 minutes [INSERT: Count=159632, Max=9471, Min=560, Avg=1999.35, 90=2669, 99=3707, 99.9=5179, 99.99=7327] 
2025-08-18 15:35:36:355 920 sec: 14486708 operations; 15781.6 current ops/sec; est completion in 1 hour 30 minutes [INSERT: Count=157815, Max=10271, Min=550, Avg=2022.72, 90=2695, 99=3731, 99.9=5347, 99.99=7951] 
2025-08-18 15:35:46:355 930 sec: 14646237 operations; 15952.9 current ops/sec; est completion in 1 hour 30 minutes [INSERT: Count=159532, Max=9431, Min=559, Avg=2000.78, 90=2679, 99=3727, 99.9=5219, 99.99=8015] 
2025-08-18 15:35:56:355 940 sec: 14806272 operations; 16003.5 current ops/sec; est completion in 1 hour 30 minutes [INSERT: Count=160032, Max=12703, Min=518, Avg=1994.46, 90=2675, 99=3699, 99.9=5039, 99.99=6943] 
2025-08-18 15:36:06:355 950 sec: 14962896 operations; 15662.4 current ops/sec; est completion in 1 hour 30 minutes [INSERT: Count=156626, Max=9687, Min=571, Avg=2037.94, 90=2715, 99=3709, 99.9=5531, 99.99=8415] 
2025-08-18 15:36:16:355 960 sec: 15122219 operations; 15932.3 current ops/sec; est completion in 1 hour 29 minutes [INSERT: Count=159324, Max=8239, Min=511, Avg=2003.32, 90=2683, 99=3699, 99.9=5071, 99.99=6811] 
2025-08-18 15:36:26:355 970 sec: 15281072 operations; 15885.3 current ops/sec; est completion in 1 hour 29 minutes [INSERT: Count=158851, Max=15175, Min=541, Avg=2009.28, 90=2689, 99=3729, 99.9=5255, 99.99=7571] 
2025-08-18 15:36:36:355 980 sec: 15438716 operations; 15764.4 current ops/sec; est completion in 1 hour 29 minutes [INSERT: Count=157646, Max=9319, Min=557, Avg=2024.78, 90=2693, 99=3719, 99.9=5071, 99.99=7079] 
2025-08-18 15:36:46:355 990 sec: 15597703 operations; 15898.7 current ops/sec; est completion in 1 hour 29 minutes [INSERT: Count=158985, Max=8959, Min=541, Avg=2007.52, 90=2681, 99=3713, 99.9=5175, 99.99=7363] 
2025-08-18 15:36:56:355 1000 sec: 15756933 operations; 15923 current ops/sec; est completion in 1 hour 29 minutes [INSERT: Count=159229, Max=9255, Min=527, Avg=2004.62, 90=2683, 99=3727, 99.9=5371, 99.99=7931] 
2025-08-18 15:37:06:355 1010 sec: 15915219 operations; 15828.6 current ops/sec; est completion in 1 hour 28 minutes [INSERT: Count=158286, Max=17375, Min=540, Avg=2016.71, 90=2689, 99=3709, 99.9=5159, 99.99=7243] 
2025-08-18 15:37:16:355 1020 sec: 16074419 operations; 15920 current ops/sec; est completion in 1 hour 28 minutes [INSERT: Count=159202, Max=9759, Min=521, Avg=2004.82, 90=2681, 99=3721, 99.9=5203, 99.99=6927] 
2025-08-18 15:37:26:355 1030 sec: 16231384 operations; 15696.5 current ops/sec; est completion in 1 hour 28 minutes [INSERT: Count=156968, Max=10439, Min=548, Avg=2033.65, 90=2705, 99=3733, 99.9=5359, 99.99=8463] 
2025-08-18 15:37:36:355 1040 sec: 16390853 operations; 15946.9 current ops/sec; est completion in 1 hour 28 minutes [INSERT: Count=159467, Max=9287, Min=539, Avg=2001.52, 90=2685, 99=3733, 99.9=5527, 99.99=7411] 
2025-08-18 15:37:46:355 1050 sec: 16549690 operations; 15883.7 current ops/sec; est completion in 1 hour 28 minutes [INSERT: Count=158835, Max=9687, Min=491, Avg=2009.52, 90=2683, 99=3739, 99.9=5255, 99.99=8215] 
2025-08-18 15:37:56:355 1060 sec: 16705937 operations; 15624.7 current ops/sec; est completion in 1 hour 28 minutes [INSERT: Count=156246, Max=14239, Min=498, Avg=2042.85, 90=2715, 99=3721, 99.9=5443, 99.99=9479] 
